"Year","Name","Area_code","Type","Age","Population"
2020,"Darlington","E06000005","Unitary Authority","All Ages",107402
2020,"Darlington","E06000005","Unitary Authority","Aged 65+",22131
2020,"County Durham","E06000047","Unitary Authority","All Ages",533149
2020,"County Durham","E06000047","Unitary Authority","Aged 65+",111582
2020,"Hartlepool","E06000001","Unitary Authority","All Ages",93836
2020,"Hartlepool","E06000001","Unitary Authority","Aged 65+",18371
2020,"Middlesbrough","E06000002","Unitary Authority","All Ages",141285
2020,"Middlesbrough","E06000002","Unitary Authority","Aged 65+",23214
2020,"Northumberland","E06000057","Unitary Authority","All Ages",323820
2020,"Northumberland","E06000057","Unitary Authority","Aged 65+",81368
2020,"Redcar and Cleveland","E06000003","Unitary Authority","All Ages",137228
2020,"Redcar and Cleveland","E06000003","Unitary Authority","Aged 65+",31288
2020,"Stockton-on-Tees","E06000004","Unitary Authority","All Ages",197419
2020,"Stockton-on-Tees","E06000004","Unitary Authority","Aged 65+",36948
2020,"Gateshead","E08000037","Unitary Authority","All Ages",201950
2020,"Gateshead","E08000037","Unitary Authority","Aged 65+",39903
2020,"Newcastle upon Tyne","E08000021","Unitary Authority","All Ages",306824
2020,"Newcastle upon Tyne","E08000021","Unitary Authority","Aged 65+",44154
2020,"North Tyneside","E08000022","Unitary Authority","All Ages",208871
2020,"North Tyneside","E08000022","Unitary Authority","Aged 65+",42649
2020,"South Tyneside","E08000023","Unitary Authority","All Ages",151133
2020,"South Tyneside","E08000023","Unitary Authority","Aged 65+",30814
2020,"Sunderland","E08000024","Unitary Authority","All Ages",277846
2020,"Sunderland","E08000024","Unitary Authority","Aged 65+",55209
2020,"Blackburn with Darwen","E06000008","Unitary Authority","All Ages",150030
2020,"Blackburn with Darwen","E06000008","Unitary Authority","Aged 65+",21986
2020,"Blackpool","E06000009","Unitary Authority","All Ages",138381
2020,"Blackpool","E06000009","Unitary Authority","Aged 65+",28433
2020,"Cheshire East","E06000049","Unitary Authority","All Ages",386667
2020,"Cheshire East","E06000049","Unitary Authority","Aged 65+",89148
2020,"Cheshire West and Chester","E06000050","Unitary Authority","All Ages",343823
2020,"Cheshire West and Chester","E06000050","Unitary Authority","Aged 65+",74915
2020,"Halton","E06000006","Unitary Authority","All Ages",129759
2020,"Halton","E06000006","Unitary Authority","Aged 65+",24105
2020,"Warrington","E06000007","Unitary Authority","All Ages",209397
2020,"Warrington","E06000007","Unitary Authority","Aged 65+",40052
2020,"Cumbria","E10000006","Upper Tier Local Authority","All Ages",499781
2020,"Cumbria","E10000006","Upper Tier Local Authority","Aged 65+",123422
2020,"Bolton","E08000001","Unitary Authority","All Ages",288248
2020,"Bolton","E08000001","Unitary Authority","Aged 65+",50056
2020,"Bury","E08000002","Unitary Authority","All Ages",190708
2020,"Bury","E08000002","Unitary Authority","Aged 65+",35054
2020,"Manchester","E08000003","Unitary Authority","All Ages",555741
2020,"Manchester","E08000003","Unitary Authority","Aged 65+",51557
2020,"Oldham","E08000004","Unitary Authority","All Ages",237628
2020,"Oldham","E08000004","Unitary Authority","Aged 65+",38417
2020,"Rochdale","E08000005","Unitary Authority","All Ages",223659
2020,"Rochdale","E08000005","Unitary Authority","Aged 65+",36927
2020,"Salford","E08000006","Unitary Authority","All Ages",262697
2020,"Salford","E08000006","Unitary Authority","Aged 65+",36625
2020,"Stockport","E08000007","Unitary Authority","All Ages",294197
2020,"Stockport","E08000007","Unitary Authority","Aged 65+",58933
2020,"Tameside","E08000008","Unitary Authority","All Ages",227117
2020,"Tameside","E08000008","Unitary Authority","Aged 65+",39976
2020,"Trafford","E08000009","Unitary Authority","All Ages",237579
2020,"Trafford","E08000009","Unitary Authority","Aged 65+",41443
2020,"Wigan","E08000010","Unitary Authority","All Ages",330712
2020,"Wigan","E08000010","Unitary Authority","Aged 65+",63420
2020,"Lancashire","E10000017","Upper Tier Local Authority","All Ages",1227076
2020,"Lancashire","E10000017","Upper Tier Local Authority","Aged 65+",255637
2020,"Knowsley","E08000011","Unitary Authority","All Ages",152452
2020,"Knowsley","E08000011","Unitary Authority","Aged 65+",26419
2020,"Liverpool","E08000012","Unitary Authority","All Ages",500474
2020,"Liverpool","E08000012","Unitary Authority","Aged 65+",73799
2020,"Sefton","E08000014","Unitary Authority","All Ages",275899
2020,"Sefton","E08000014","Unitary Authority","Aged 65+",65463
2020,"St. Helens","E08000013","Unitary Authority","All Ages",181095
2020,"St. Helens","E08000013","Unitary Authority","Aged 65+",37320
2020,"Wirral","E08000015","Unitary Authority","All Ages",324336
2020,"Wirral","E08000015","Unitary Authority","Aged 65+",71289
2020,"East Riding of Yorkshire","E06000011","Unitary Authority","All Ages",343201
2020,"East Riding of Yorkshire","E06000011","Unitary Authority","Aged 65+",90631
2020,"Kingston upon Hull, City of","E06000010","Unitary Authority","All Ages",259126
